003923.112 | DEBUG    | UI   | ROUTER     | oaComsBroker.protocol_router.ingest | 📡📥📥 [INBOUND] MQTT on OPEN-AIR/Spectrum/Instrument/bandwidth/visibility/visible: {'visible': True, 'ts': 1773802222.7099192, 'tab_name': 'BANDWIDTH'}
003923.113 | DEBUG    | UI   | ROUTER     | oaComsBroker.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/Spectrum/Instrument/bandwidth/visibility/visible: {'visible': True, 'ts': 1773802222.7099192, 'tab_name': 'BANDWIDTH'}
003923.113 | TRACE    | UI   | SYSTEM     | oaComMQTT.mqtt_connection | 📥📡📥 [MQTT] Received message on OPEN-AIR/Spectrum/Instrument/bandwidth/visibility/geometry
003923.113 | DEBUG    | UI   | ROUTER     | oaComsBroker.protocol_router.ingest | 📡📥📥 [INBOUND] MQTT on OPEN-AIR/Spectrum/Instrument/bandwidth/visibility/geometry: {'width': 1920, 'height': 1131, 'x': 1920, 'y': 1149, 'ts': 1773802302.5992215, 'tab_name': 'BANDWID...
003923.113 | TRACE    | UI   | SYSTEM     | oaComMQTT.mqtt_connection | 📥📡📥 [MQTT] Received message on OPEN-AIR/Spectrum/Instrument/amplitude/visibility/visible
003923.113 | DEBUG    | UI   | ROUTER     | oaComsBroker.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/Spectrum/Instrument/bandwidth/visibility/geometry: {'width': 1920, 'height': 1131, 'x': 1920, 'y': 1149, 'ts': 1773802302.5992215, 'tab_name': 'BANDWID...
003923.113 | DEBUG    | UI   | ROUTER     | oaComsBroker.protocol_router.ingest | 📡📥📥 [INBOUND] MQTT on OPEN-AIR/Spectrum/Instrument/amplitude/visibility/visible: {'visible': False, 'ts': 1773801449.721862, 'tab_name': 'AMPLITUDE'}
003923.114 | DEBUG    | UI   | ROUTER     | oaComsBroker.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/Spectrum/Instrument/amplitude/visibility/visible: {'visible': False, 'ts': 1773801449.721862, 'tab_name': 'AMPLITUDE'}
003923.114 | TRACE    | UI   | SYSTEM     | oaComMQTT.mqtt_connection | 📥📡📥 [MQTT] Received message on OPEN-AIR/Spectrum/Instrument/amplitude/visibility/geometry
003923.114 | DEBUG    | UI   | ROUTER     | oaComsBroker.protocol_router.ingest | 📡📥📥 [INBOUND] MQTT on OPEN-AIR/Spectrum/Instrument/amplitude/visibility/geometry: {'width': 1920, 'height': 1131, 'x': 1920, 'y': 1149, 'ts': 1773801447.5123334, 'tab_name': 'AMPLITU...
003923.114 | DEBUG    | UI   | ROUTER     | oaComsBroker.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/Spectrum/Instrument/amplitude/visibility/geometry: {'width': 1920, 'height': 1131, 'x': 1920, 'y': 1149, 'ts': 1773801447.5123334, 'tab_name': 'AMPLITU...
003923.114 | TRACE    | UI   | SYSTEM     | oaComMQTT.mqtt_connection | 📥📡📥 [MQTT] Received message on OPEN-AIR/Spectrum/Instrument/markers/visibility/visible
003923.114 | DEBUG    | UI   | ROUTER     | oaComsBroker.protocol_router.ingest | 📡📥📥 [INBOUND] MQTT on OPEN-AIR/Spectrum/Instrument/markers/visibility/visible: {'visible': False, 'ts': 1773800382.3941221, 'tab_name': 'MARKERS'}
003923.115 | DEBUG    | UI   | ROUTER     | oaComsBroker.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/Spectrum/Instrument/markers/visibility/visible: {'visible': False, 'ts': 1773800382.3941221, 'tab_name': 'MARKERS'}
003923.115 | TRACE    | UI   | SYSTEM     | oaComMQTT.mqtt_connection | 📥📡📥 [MQTT] Received message on OPEN-AIR/Spectrum/Instrument/markers/visibility/geometry
003923.115 | DEBUG    | UI   | ROUTER     | oaComsBroker.protocol_router.ingest | 📡📥📥 [INBOUND] MQTT on OPEN-AIR/Spectrum/Instrument/markers/visibility/geometry: {'width': 1920, 'height': 1131, 'x': 1920, 'y': 1149, 'ts': 1773801450.945074, 'tab_name': 'MARKERS'...
003923.115 | DEBUG    | UI   | ROUTER     | oaComsBroker.protocol_router.router | 📥📡📤 [ROUTER] IGNORE (REFLECT) >> OPEN-AIR/Spectrum/Instrument/markers/visibility/geometry: {'width': 1920, 'height': 1131, 'x': 1920, 'y': 1149, 'ts': 1773801450.945074, 'tab_name': 'MARKERS'...
